Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
85.0,0.0,100,100,100
114.0,43.0,100,100.0,0.05
295.0,3.0,100,100.0,10.0
743.0,0.0,100,100.0,10.0
1175.0,0.0,100,100.0,10.0
1198.0,4.0,100,100.0,10.0
1222.0,4.0,100,100.0,10.0
1260.0,3.0,100,100.0,10.0
1297.0,2.0,100,100.0,10.0
1344.0,1.0,100,100.0,10.0
1400.0,1.0,100,100.0,10.0
1424.0,4.0,100,100.0,10.0
1486.0,1.0,100,100.0,10.0
1539.0,2.0,100,100.0,10.0
1670.0,121.0,100.0,100.0,10.0
1738.0,40.0,100.0,12.5,10.0
1761.0,17.0,100.0,100.0,10.0
1772.0,67.0,100.0,100.0,10.0
1782.0,70.0,100.0,100.0,17.2
1805.0,28.0,100.0,100.0,17.6
1819.0,13.0,100.0,100.0,10.0
1837.0,12.0,100.0,100.0,10.0
1865.0,5.0,100.0,100.0,10.0
1887.0,26.0,100.0,100.0,10.0
1958.0,8.0,100.0,100.0,10.0
1971.0,13.0,100.0,100.0,10.0
1993.0,16.0,100.0,100.0,10.0
2025.0,36.0,130.47,100.0,10.0
2064.0,40.0,130.47,12.5,10.0
2097.0,3.0,130.47,100.0,10.0
2134.0,4.0,130.47,100.0,10.0
2159.0,14.0,130.47,100.0,10.0
2188.0,10.0,130.47,100.0,10.0
2216.0,6.0,130.47,100.0,10.0
2246.0,5.0,130.47,100.0,10.0
2271.0,8.0,130.47,100.0,10.0
2294.0,7.0,130.47,100.0,10.0
2325.0,5.0,130.47,100.0,10.0
2358.0,15.0,130.47,100.0,10.0
2393.0,25.0,130.47,100.0,10.0
2418.0,6.0,130.47,100.0,10.0
2447.0,6.0,130.47,100.0,10.0
2469.0,13.0,130.47,100.0,10.0
2486.0,11.0,130.47,100.0,10.0
2535.0,6.0,130.47,100.0,10.0
2564.0,7.0,130.47,100.0,10.0
2583.0,9.0,130.47,100.0,10.0
2595.0,15.0,130.47,100.0,10.0
2617.0,14.0,130.47,100.0,10.0
2650.0,25.0,130.47,100.0,10.0
2680.0,7.0,130.47,100.0,10.0
2722.0,4.0,130.47,100.0,10.0
2744.0,9.0,130.47,100.0,10.0
2780.0,4.0,130.47,100.0,10.0
2817.0,4.0,130.47,100.0,10.0
2857.0,4.0,130.47,100.0,10.0
2884.0,7.0,130.47,100.0,10.0
2900.0,19.0,130.47,100.0,10.0
2927.0,8.0,130.47,100.0,10.0
2971.0,4.0,130.47,100.0,10.0
3006.0,18.0,130.47,100.0,10.0
3040.0,5.0,130.47,100.0,10.0
3056.0,12.0,130.47,100.0,10.0
3079.0,7.0,130.47,100.0,10.0
3118.0,5.0,130.47,100.0,10.0
3175.0,3.0,130.47,100.0,10.0
3195.0,10.0,130.47,100.0,10.0
3208.0,15.0,130.47,100.0,10.0
3236.0,6.0,130.47,100.0,10.0
3277.0,4.0,130.47,100.0,10.0
3321.0,7.0,130.47,100.0,10.0
3349.0,7.0,130.47,100.0,10.0
3374.0,7.0,130.47,100.0,10.0
3405.0,5.0,130.47,100.0,10.0
3440.0,9.0,130.47,100.0,10.0
3471.0,5.0,130.47,100.0,10.0
3489.0,22.0,130.47,100.0,10.0
3523.0,6.0,130.47,100.0,10.0
3553.0,6.0,130.47,100.0,10.0
3588.0,6.0,130.47,100.0,10.0
3619.0,9.0,130.47,100.0,10.0
3637.0,9.0,130.47,100.0,10.0
3655.0,12.0,130.47,100.0,10.0
3692.0,5.0,130.47,100.0,10.0
3736.0,4.0,130.47,100.0,10.0
3764.0,6.0,130.47,100.0,10.0
3779.0,14.0,130.47,100.0,10.0
3822.0,7.0,130.47,100.0,10.0
3853.0,9.0,130.47,100.0,10.0
3878.0,8.0,130.47,100.0,10.0
3913.0,6.0,130.47,100.0,10.0
3947.0,5.0,130.47,100.0,10.0
3986.0,28.0,130.47,100.0,10.0
4018.0,9.0,130.47,100.0,10.0
4043.0,12.0,130.47,100.0,10.0
4059.0,11.0,130.47,100.0,10.0
4086.0,7.0,130.47,100.0,10.0
4143.0,2.0,130.47,100.0,10.0
4177.0,9.0,130.47,100.0,10.0
4214.0,5.0,130.47,100.0,10.0
4237.0,7.0,130.47,100.0,10.0
4262.0,7.0,130.47,100.0,10.0
4279.0,15.0,130.47,100.0,10.0
4315.0,8.0,130.47,100.0,10.0
4343.0,6.0,130.47,100.0,10.0
4363.0,10.0,130.47,100.0,10.0
4395.0,9.0,130.47,100.0,10.0
4440.0,14.0,130.47,100.0,10.0
4468.0,7.0,130.47,100.0,10.0
4500.0,14.0,130.47,100.0,10.0
4530.0,39.0,130.47,100.0,10.0
4554.0,8.0,130.47,100.0,10.0
4583.0,5.0,130.47,100.0,10.0
4602.0,10.0,130.47,100.0,10.0
4632.0,10.0,130.47,100.0,10.0
4663.0,6.0,130.47,100.0,10.0
4696.0,9.0,130.47,100.0,10.0
4724.0,10.0,130.47,100.0,10.0
4759.0,31.0,130.47,100.0,10.0
4780.0,8.0,130.47,100.0,10.0
4812.0,9.0,130.47,100.0,10.0
4841.0,7.0,130.47,100.0,10.0
4878.0,6.0,130.47,100.0,10.0
4902.0,16.0,130.47,100.0,10.0
4921.0,23.0,130.47,100.0,10.0
4952.0,6.0,130.47,100.0,10.0
4989.0,5.0,130.47,100.0,10.0
5015.0,11.0,130.47,100.0,10.0
5036.0,9.0,130.47,100.0,10.0
5064.0,9.0,130.47,100.0,10.0
5103.0,10.0,130.47,100.0,10.0
5133.0,6.0,130.47,100.0,10.0
5165.0,10.0,130.47,100.0,10.0
5196.0,9.0,130.47,100.0,10.0
5227.0,6.0,130.47,100.0,10.0
5259.0,7.0,130.47,100.0,10.0
5286.0,8.0,130.47,100.0,10.0
5308.0,9.0,130.47,100.0,10.0
5334.0,10.0,130.47,100.0,10.0
5374.0,5.0,130.47,100.0,10.0
5406.0,6.0,130.47,100.0,10.0
5426.0,9.0,130.47,100.0,10.0
5465.0,21.0,130.47,100.0,10.0
5494.0,7.0,130.47,100.0,10.0
5528.0,8.0,130.47,100.0,10.0
5559.0,8.0,130.47,100.0,10.0
5583.0,9.0,130.47,100.0,10.0
5600.0,25.0,130.47,100.0,10.0
5631.0,6.0,130.47,100.0,10.0
5673.0,5.0,130.47,100.0,10.0
5695.0,9.0,130.47,100.0,10.0
5705.0,19.0,130.47,100.0,10.0
5729.0,7.0,130.47,100.0,10.0
5759.0,6.0,130.47,100.0,10.0
5788.0,9.0,130.47,100.0,10.0
5811.0,16.0,130.47,100.0,10.0
5858.0,4.0,130.47,100.0,10.0
5888.0,6.0,130.47,100.0,10.0
5908.0,11.0,130.47,100.0,10.0
5938.0,17.0,130.47,100.0,10.0
5958.0,12.0,130.47,100.0,10.0
5984.0,9.0,130.47,100.0,10.0
