Time,GC Util,heapSize,numThreads,GCInterval
112553.0,0.0,100,100,100
0.0,0.0,100,100,100
73.0,7.0,100,100,100
124.0,11.0,100,100,100
138.0,0.0,100,100,100
302.0,4.0,100,100,100
346.0,4.0,100,100,100
365.0,3.0,100,100,100
384.0,2.0,100,100,100
414.0,2.0,100,100,100
438.0,1.0,100,100,100
469.0,1.0,100,100,100
509.0,3.0,100,100,100
534.0,1.0,100,100,100
592.0,1.0,100,100,100
645.0,63.0,100,100,100
682.0,8.0,100,100,100
710.0,41.0,100,100,100
718.0,15.0,100,100,100
734.0,30.0,100,100,100
741.0,10.0,100,100,100
760.0,9.0,100,100,100
773.0,7.0,100,100,100
787.0,7.0,100,100,100
808.0,8.0,100,100,100
847.0,4.0,100,100,100
888.0,16.0,100,100,100
902.0,10.0,100,100,100
950.0,10.0,100,100,100
975.0,5.0,100,100,100
1006.0,10.0,100,100,100
1025.0,92.0,100,100,100
1029.0,5.0,100,100,100
1056.0,10.0,100,100,100
1075.0,8.0,100,100,100
1101.0,8.0,100,100,100
1118.0,7.0,100,100,100
1138.0,172.0,100,100,100
1141.0,7.0,100,100,100
1158.0,23.0,100,100,100
1166.0,9.0,100,100,100
1190.0,6.0,100,100,100
1215.0,9.0,100,100,100
1236.0,158.0,100,100,100
1243.0,5.0,100,100,100
1265.0,9.0,100,100,100
1282.0,6.0,100,100,100
1308.0,20.0,100,100,100
1325.0,6.0,100,100,100
1349.0,173.0,100,100,100
1380.0,28.0,100,100,100
1394.0,13.0,100,100,100
1410.0,10.0,100,100,100
1425.0,7.0,100,100,100
1446.0,5.0,100,100,100
1474.0,178.0,100,100,100
1501.0,17.0,100,100,100
1519.0,7.0,100,100,100
1542.0,10.0,100,100,100
1558.0,11.0,100,100,100
1573.0,28.0,100,100,100
1597.0,6.0,100,100,100
1625.0,200.0,100,100,100
1628.0,2.0,100,100,100
1672.0,29.0,100,100,100
1695.0,11.0,100,100,100
1712.0,9.0,100,100,100
1733.0,209.0,100,100,100
1764.0,9.0,100,100,100
1793.0,12.0,100,100,100
1805.0,4.0,100,100,100
1837.0,12.0,100,100,100
1851.0,27.0,100,100,100
1875.0,211.0,100,100,100
1912.0,10.0,100,100,100
1942.0,34.0,100,100,100
1949.0,6.0,100,100,100
1978.0,12.0,100,100,100
1993.0,9.0,100,100,100
2014.0,5.0,100,100,100
2046.0,172.0,100,100,100
2051.0,3.0,100,100,100
2087.0,9.0,100,100,100
2108.0,9.0,100,100,100
2138.0,8.0,100,100,100
2160.0,198.0,100,100,100
2200.0,9.0,100,100,100
2230.0,14.0,100,100,100
2245.0,8.0,100,100,100
2273.0,11.0,100,100,100
2299.0,5.0,100,100,100
2333.0,201.0,100,100,100
2372.0,10.0,100,100,100
2397.0,17.0,100,100,100
2410.0,8.0,100,100,100
2433.0,5.0,100,100,100
2463.0,17.0,100,100,100
2493.0,14.0,100,100,100
2508.0,10.0,100,100,100
2537.0,263.0,100,100,100
2560.0,9.0,100,100,100
2597.0,12.0,100,100,100
2622.0,7.0,100,100,100
2650.0,12.0,100,100,100
2666.0,8.0,100,100,100
2689.0,7.0,100,100,100
2728.0,239.0,100,100,100
2731.0,3.0,100,100,100
2778.0,16.0,100,100,100
2803.0,7.0,100,100,100
2832.0,6.0,100,100,100
2871.0,7.0,100,100,100
2904.0,8.0,100,100,100
2929.0,183.0,100,100,100
2970.0,6.0,100,100,100
3000.0,22.0,100,100,100
3019.0,15.0,100,100,100
3044.0,5.0,100,100,100
3072.0,7.0,100,100,100
3104.0,274.0,100,100,100
3149.0,12.0,100,100,100
3177.0,16.0,100,100,100
3195.0,8.0,100,100,100
3221.0,7.0,100,100,100
3249.0,11.0,100,100,100
3278.0,4.0,100,100,100
3323.0,217.0,100,100,100
3342.0,10.0,100,100,100
3373.0,17.0,100,100,100
3386.0,7.0,100,100,100
3411.0,21.0,100,100,100
3431.0,161.0,100,100,100
3460.0,9.0,100,100,100
