Time,GC Util,heapSize,numThreads,GCInterval
119788.0,0.0,100,100,100
0.0,97.0,100,100,100
464.0,92.0,100,100,100
671.0,4.0,100,100,100
677.0,118.0,100,100,100
774.0,143.0,100,100,100
887.0,173.0,100,100,100
939.0,188.0,100,100,100
996.0,161.0,100,100,100
1059.0,161.0,100,100,100
1104.0,182.0,100,100,100
1133.0,169.0,100,100,100
1183.0,162.0,100,100,100
1219.0,195.0,100,100,100
1253.0,185.0,100,100,100
1281.0,154.0,100,100,100
1328.0,173.0,100,100,100
1371.0,184.0,100,100,100
1400.0,3.0,100,100,100
1443.0,117.0,100,100,100
1446.0,4.0,100,100,100
1505.0,160.0,100,100,100
1509.0,169.0,100,100,100
1553.0,66.0,100,100,100
1598.0,123.0,100,100,100
1681.0,4.0,100,100,100
1715.0,155.0,100,100,100
1719.0,3.0,100,100,100
1763.0,190.0,100,100,100
1767.0,130.0,100,100,100
1831.0,211.0,100,100,100
1886.0,134.0,100,100,100
1925.0,124.0,100,100,100
1987.0,3.0,100,100,100
2030.0,164.0,100,100,100
2032.0,4.0,100,100,100
2065.0,180.0,100,100,100
2069.0,4.0,100,100,100
2107.0,166.0,100,100,100
2110.0,156.0,100,100,100
2157.0,198.0,100,100,100
2186.0,3.0,100,100,100
2235.0,199.0,100,100,100
2239.0,157.0,100,100,100
2293.0,172.0,100,100,100
2329.0,5.0,100,100,100
2363.0,122.0,100,100,100
2368.0,122.0,100,100,100
2368.0,165.0,100,100,100
2420.0,157.0,100,100,100
2465.0,2.0,100,100,100
2531.0,178.0,100,100,100
2535.0,2.0,100,100,100
2611.0,176.0,100,100,100
2615.0,73.0,100,100,100
2688.0,112.0,100,100,100
2759.0,118.0,100,100,100
2815.0,125.0,100,100,100
2874.0,114.0,100,100,100
2937.0,2.0,100,100,100
3003.0,152.0,100,100,100
3006.0,3.0,100,100,100
3050.0,190.0,100,100,100
3054.0,1.0,100,100,100
3142.0,166.0,100,100,100
3144.0,4.0,100,100,100
3179.0,192.0,100,100,100
3182.0,118.0,100,100,100
3254.0,2.0,100,100,100
3305.0,170.0,100,100,100
3307.0,67.0,100,100,100
3375.0,94.0,100,100,100
3429.0,150.0,100,100,100
3497.0,5.0,100,100,100
3543.0,195.0,100,100,100
3546.0,142.0,100,100,100
3615.0,142.0,100,100,100
3667.0,112.0,100,100,100
3728.0,2.0,100,100,100
3790.0,193.0,100,100,100
3794.0,1.0,100,100,100
3849.0,199.0,100,100,100
3852.0,2.0,100,100,100
3911.0,179.0,100,100,100
3914.0,3.0,100,100,100
3952.0,197.0,100,100,100
3956.0,2.0,100,100,100
4011.0,190.0,100,100,100
4015.0,74.0,100,100,100
4073.0,76.0,100,100,100
4140.0,77.0,100,100,100
4199.0,148.0,100,100,100
4258.0,100.0,100,100,100
4309.0,197.0,100,100,100
4379.0,71.0,100,100,100
4436.0,5.0,100,100,100
4478.0,161.0,100,100,100
4480.0,143.0,100,100,100
4540.0,121.0,100,100,100
