Time,GC Util,heapSize,numThreads,GCInterval
26828.0,0.0,100,100,100
0.0,85.0,100,100,100
1529.0,80.0,100,100,100
2236.0,76.0,100,100,100
2468.0,86.0,100,100,100
5323.0,78.0,100,100,100
5473.0,5.0,100,100,100
5499.0,85.0,100,100,100
5628.0,92.0,100,100,100
5715.0,85.0,100,100,100
5783.0,88.0,100,100,100
5828.0,88.0,100,100,100
5857.0,88.0,100,100,100
5877.0,91.0,100,100,100
5919.0,89.0,100,100,100
5985.0,85.0,100,100,100
6024.0,85.0,100,100,100
6063.0,86.0,100,100,100
6119.0,93.0,100,100,100
6151.0,91.0,100,100,100
6175.0,9.0,100,100,100
6265.0,89.0,100,100,100
6342.0,90.0,100,100,100
6358.0,89.0,100,100,100
6372.0,89.0,100,100,100
6397.0,95.0,100,100,100
6461.0,82.0,100,100,100
6508.0,93.0,100,100,100
6554.0,91.0,100,100,100
6574.0,97.0,100,100,100
6624.0,90.0,100,100,100
6671.0,97.0,100,100,100
6704.0,94.0,100,100,100
6748.0,79.0,100,100,100
6850.0,95.0,100,100,100
6904.0,92.0,100,100,100
6942.0,88.0,100,100,100
6959.0,71.0,100,100,100
7025.0,92.0,100,100,100
7079.0,94.0,100,100,100
7119.0,85.0,100,100,100
7147.0,92.0,100,100,100
7167.0,93.0,100,100,100
7200.0,92.0,100,100,100
7235.0,92.0,100,100,100
7265.0,92.0,100,100,100
7295.0,87.0,100,100,100
7315.0,92.0,100,100,100
7356.0,79.0,100,100,100
7387.0,94.0,100,100,100
7407.0,30.0,100,100,100
7430.0,92.0,100,100,100
7505.0,34.0,100,100,100
7528.0,93.0,100,100,100
7575.0,91.0,100,100,100
7600.0,93.0,100,100,100
7624.0,91.0,100,100,100
7645.0,187.0,100,100,100
7742.0,239.0,100,100,100
7792.0,257.0,100,100,100
7834.0,240.0,100,100,100
8031.0,56.0,100,100,100
8116.0,162.0,100,100,100
8198.0,252.0,100,100,100
8204.0,44.0,100,100,100
8212.0,256.0,100,100,100
8284.0,260.0,100,100,100
8315.0,207.0,100,100,100
8350.0,168.0,100,100,100
8386.0,168.0,100,100,100
8427.0,167.0,100,100,100
8474.0,176.0,100,100,100
8522.0,169.0,100,100,100
8576.0,183.0,100,100,100
8642.0,179.0,100,100,100
8717.0,183.0,100,100,100
8794.0,177.0,100,100,100
9010.0,166.0,100,100,100
9175.0,245.0,100,100,100
10331.0,262.0,100,100,100
10361.0,248.0,100,100,100
10386.0,350.0,100,100,100
10409.0,364.0,100,100,100
10435.0,367.0,100,100,100
10466.0,362.0,100,100,100
10493.0,368.0,100,100,100
10517.0,362.0,100,100,100
10541.0,368.0,100,100,100
10565.0,352.0,100,100,100
10590.0,358.0,100,100,100
10615.0,358.0,100,100,100
10639.0,350.0,100,100,100
10663.0,365.0,100,100,100
10687.0,358.0,100,100,100
10715.0,364.0,100,100,100
10743.0,368.0,100,100,100
10767.0,364.0,100,100,100
10792.0,358.0,100,100,100
10816.0,363.0,100,100,100
10841.0,366.0,100,100,100
10865.0,367.0,100,100,100
10890.0,351.0,100,100,100
11014.0,271.0,100,100,100
11144.0,352.0,100,100,100
11209.0,368.0,100,100,100
11265.0,368.0,100,100,100
11320.0,364.0,100,100,100
11372.0,360.0,100,100,100
11430.0,358.0,100,100,100
11534.0,278.0,100,100,100
11877.0,357.0,100,100,100
12602.0,235.0,100,100,100
13224.0,433.0,100,100,100
13658.0,432.0,100,100,100
13916.0,402.0,100,100,100
14109.0,421.0,100,100,100
15620.0,426.0,100,100,100
15848.0,430.0,100,100,100
16574.0,418.0,100,100,100
16710.0,384.0,100,100,100
16957.0,435.0,100,100,100
16995.0,435.0,100,100,100
17033.0,428.0,100,100,100
17240.0,374.0,100,100,100
17362.0,73.0,100,100,100
17547.0,400.0,100,100,100
18099.0,405.0,100,100,100
18228.0,415.0,100,100,100
18350.0,435.0,100,100,100
18425.0,292.0,100,100,100
18465.0,333.0,100,100,100
18503.0,351.0,100,100,100
18569.0,351.0,100,100,100
18717.0,357.0,100,100,100
18731.0,342.0,100,100,100
18746.0,316.0,100,100,100
18762.0,347.0,100,100,100
18778.0,344.0,100,100,100
18795.0,351.0,100,100,100
18809.0,348.0,100,100,100
18823.0,208.0,100,100,100
18845.0,79.0,100,100,100
18860.0,359.0,100,100,100
18993.0,71.0,100,100,100
19009.0,351.0,100,100,100
19070.0,118.0,100,100,100
19087.0,233.0,100,100,100
19126.0,80.0,100,100,100
19142.0,353.0,100,100,100
19177.0,68.0,100,100,100
19217.0,269.0,100,100,100
19291.0,59.0,100,100,100
19312.0,70.0,100,100,100
19471.0,79.0,100,100,100
19508.0,76.0,100,100,100
19544.0,71.0,100,100,100
19583.0,328.0,100,100,100
19646.0,348.0,100,100,100
19672.0,68.0,100,100,100
19846.0,344.0,100,100,100
19965.0,328.0,100,100,100
20110.0,341.0,100,100,100
20152.0,254.0,100,100,100
20193.0,273.0,100,100,100
20253.0,272.0,100,100,100
20307.0,248.0,100,100,100
20355.0,118.0,100,100,100
20458.0,278.0,100,100,100
20549.0,269.0,100,100,100
20593.0,268.0,100,100,100
20631.0,260.0,100,100,100
20745.0,186.0,100,100,100
20823.0,263.0,100,100,100
20895.0,260.0,100,100,100
20911.0,234.0,100,100,100
20929.0,275.0,100,100,100
20947.0,344.0,100,100,100
20963.0,266.0,100,100,100
21000.0,339.0,100,100,100
21060.0,253.0,100,100,100
21081.0,418.0,100,100,100
21108.0,423.0,100,100,100
21192.0,426.0,100,100,100
21248.0,410.0,100,100,100
21326.0,434.0,100,100,100
21383.0,436.0,100,100,100
21440.0,73.0,100,100,100
21496.0,417.0,100,100,100
21612.0,422.0,100,100,100
21666.0,406.0,100,100,100
21691.0,431.0,100,100,100
21703.0,412.0,100,100,100
21716.0,428.0,100,100,100
21728.0,416.0,100,100,100
21740.0,438.0,100,100,100
21758.0,433.0,100,100,100
21795.0,412.0,100,100,100
21972.0,423.0,100,100,100
21983.0,511.0,100,100,100
21993.0,504.0,100,100,100
22004.0,392.0,100,100,100
22015.0,81.0,100,100,100
22026.0,432.0,100,100,100
22081.0,438.0,100,100,100
22092.0,445.0,100,100,100
22101.0,446.0,100,100,100
22111.0,437.0,100,100,100
22121.0,439.0,100,100,100
22130.0,433.0,100,100,100
22140.0,430.0,100,100,100
22150.0,432.0,100,100,100
22160.0,449.0,100,100,100
22169.0,434.0,100,100,100
22179.0,436.0,100,100,100
22189.0,425.0,100,100,100
22199.0,424.0,100,100,100
22209.0,434.0,100,100,100
22220.0,444.0,100,100,100
22230.0,432.0,100,100,100
22240.0,389.0,100,100,100
22251.0,431.0,100,100,100
22261.0,438.0,100,100,100
22271.0,433.0,100,100,100
22281.0,345.0,100,100,100
22292.0,334.0,100,100,100
22303.0,344.0,100,100,100
22313.0,354.0,100,100,100
22323.0,358.0,100,100,100
22334.0,360.0,100,100,100
22344.0,353.0,100,100,100
22354.0,358.0,100,100,100
22364.0,349.0,100,100,100
22380.0,327.0,100,100,100
22409.0,348.0,100,100,100
22439.0,360.0,100,100,100
22470.0,348.0,100,100,100
22487.0,306.0,100,100,100
22501.0,514.0,100,100,100
22512.0,523.0,100,100,100
22523.0,516.0,100,100,100
22534.0,510.0,100,100,100
22546.0,526.0,100,100,100
22556.0,500.0,100,100,100
22568.0,521.0,100,100,100
22580.0,497.0,100,100,100
22591.0,505.0,100,100,100
22603.0,514.0,100,100,100
22616.0,496.0,100,100,100
22632.0,518.0,100,100,100
22648.0,493.0,100,100,100
22816.0,519.0,100,100,100
22826.0,528.0,100,100,100
22836.0,519.0,100,100,100
22964.0,510.0,100,100,100
22982.0,502.0,100,100,100
23005.0,504.0,100,100,100
23034.0,511.0,100,100,100
23058.0,522.0,100,100,100
23089.0,519.0,100,100,100
23124.0,504.0,100,100,100
23159.0,512.0,100,100,100
23192.0,515.0,100,100,100
23216.0,502.0,100,100,100
23253.0,506.0,100,100,100
23338.0,498.0,100,100,100
23354.0,489.0,100,100,100
23376.0,505.0,100,100,100
23406.0,468.0,100,100,100
23433.0,515.0,100,100,100
23457.0,506.0,100,100,100
23532.0,509.0,100,100,100
23581.0,505.0,100,100,100
23630.0,509.0,100,100,100
23686.0,519.0,100,100,100
23730.0,519.0,100,100,100
23740.0,532.0,100,100,100
23750.0,514.0,100,100,100
23760.0,519.0,100,100,100
23771.0,531.0,100,100,100
23780.0,521.0,100,100,100
23790.0,517.0,100,100,100
23804.0,497.0,100,100,100
23851.0,487.0,100,100,100
23891.0,512.0,100,100,100
23905.0,509.0,100,100,100
23918.0,506.0,100,100,100
23946.0,484.0,100,100,100
23984.0,511.0,100,100,100
24022.0,509.0,100,100,100
24088.0,499.0,100,100,100
24132.0,507.0,100,100,100
24176.0,504.0,100,100,100
24221.0,515.0,100,100,100
24266.0,513.0,100,100,100
24311.0,521.0,100,100,100
24355.0,484.0,100,100,100
24401.0,513.0,100,100,100
24421.0,519.0,100,100,100
24431.0,522.0,100,100,100
24441.0,505.0,100,100,100
24452.0,524.0,100,100,100
24462.0,509.0,100,100,100
24473.0,498.0,100,100,100
24486.0,499.0,100,100,100
24515.0,496.0,100,100,100
24678.0,519.0,100,100,100
24687.0,517.0,100,100,100
24696.0,522.0,100,100,100
24705.0,508.0,100,100,100
24714.0,517.0,100,100,100
24724.0,523.0,100,100,100
24733.0,472.0,100,100,100
24742.0,521.0,100,100,100
24752.0,527.0,100,100,100
24762.0,510.0,100,100,100
24772.0,507.0,100,100,100
24781.0,510.0,100,100,100
24791.0,503.0,100,100,100
24800.0,524.0,100,100,100
24809.0,501.0,100,100,100
24819.0,509.0,100,100,100
24828.0,502.0,100,100,100
24837.0,523.0,100,100,100
