Time,GC Util
0,0
0,0
20,0
20,0
40,16
40,16
261,0
261,0
348,2
348,2
485,1
485,1
555,1
555,1
635,0
635,0
726,0
726,0
729,63
729,63
777,2
777,2
835,1
835,1
1179,0
1179,0
1269,2
1269,2
1288,10
1288,10
1500,1
1500,1
1710,0
1710,0
1908,1
1908,1
2177,1
2177,1
2470,0
2470,0
2790,0
2790,0
3076,0
3076,0
3381,0
3381,0
3675,0
3675,0
4056,0
4056,0
4457,0
4457,0
4863,0
4863,0
5257,0
5257,0
5632,0
5632,0
6023,0
6023,0
6023,0
6456,0
6460,114
6460,114
6966,0
6966,0
7473,0
7473,0
8008,0
8008,0
8568,0
8568,0
9121,0
