Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
81.0,0.0,100,100,100
169.0,12.0,100,100.0,0.05
191.0,100.0,100,100.0,10.0
739.0,0.0,100,100.0,10.0
3477.0,0.0,100,100.0,10.0
6578.0,0.0,100,100.0,10.0
9873.0,0.0,100,100.0,10.0
14872.0,0.0,100,100.0,10.0
19966.0,0.0,100,100.0,10.0
25941.0,0.0,100,100.0,10.0
31654.0,0.0,100,100.0,10.0
36002.0,0.0,100,100.0,10.0
36023.0,26.0,100,100.0,10.0
36033.0,25.0,100,100.0,10.0
36059.0,11.0,100,100.0,10.0
36104.0,6.0,100,100.0,10.0
36149.0,7.0,100,100.0,10.0
36223.0,4.0,100,100.0,10.0
36263.0,12.0,100,100.0,10.0
36303.0,10.0,100,100.0,10.0
38650.0,0.0,100,100.0,10.0
38694.0,8.0,100,100.0,10.0
38727.0,12.0,100,100.0,10.0
38781.0,9.0,100,100.0,10.0
38837.0,8.0,100,100.0,10.0
38890.0,7.0,100,100.0,10.0
38922.0,14.0,100,100.0,10.0
38938.0,27.0,100,100.0,10.0
38942.0,89.0,100,100.0,10.0
38962.0,15.0,100,100.0,10.0
39022.0,4.0,100,100.0,10.0
39058.0,4.0,100,100.0,10.0
39090.0,8.0,100,100.0,10.0
39134.0,6.0,100,100.0,10.0
39181.0,7.0,100,100.0,10.0
39214.0,12.0,100,100.0,10.0
39270.0,5.0,100,100.0,10.0
39313.0,5.0,100,100.0,10.0
39343.0,7.0,100,100.0,10.0
39412.0,3.0,100,100.0,10.0
39435.0,12.0,100,100.0,10.0
39446.0,20.0,100,100.0,10.0
39464.0,13.0,100,100.0,10.0
39481.0,18.0,100,100.0,10.0
39501.0,12.0,100,100.0,10.0
39533.0,8.0,100,100.0,10.0
39639.0,2.0,100,100.0,10.0
39665.0,56.0,121.88,100.0,10.0
39675.0,179.0,121.88,100.0,10.0
39683.0,43.0,121.88,12.5,38.8
39696.0,13.0,121.88,100.0,10.0
39739.0,10.0,121.88,100.0,10.0
39841.0,3.0,121.88,100.0,10.0
39870.0,38.0,128.12,100.0,10.0
40058.0,9.0,128.12,100.0,10.0
40124.0,2.0,128.12,100.0,10.0
40140.0,10.0,128.12,100.0,10.0
40156.0,9.0,128.12,100.0,10.0
40173.0,11.0,128.12,100.0,10.0
40190.0,10.0,128.12,100.0,10.0
40207.0,13.0,128.12,100.0,10.0
40224.0,9.0,128.12,100.0,10.0
40239.0,11.0,128.12,100.0,10.0
