Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
76.0,0.0,100,100,100
119.0,26.0,100,100.0,0.05
132.0,44.0,100,100.0,10.0
308.0,1.0,100,100.0,10.0
2734.0,0.0,100,100.0,10.0
5512.0,0.0,100,100.0,10.0
9268.0,0.0,100,100.0,10.0
12196.0,0.0,100,100.0,10.0
12264.0,96.0,100.0,100.0,10.0
12365.0,4.0,100.0,100.0,10.0
12405.0,11.0,100.0,100.0,10.0
12438.0,13.0,100.0,100.0,10.0
12475.0,11.0,100.0,100.0,10.0
12550.0,5.0,100.0,100.0,10.0
12609.0,4.0,100.0,100.0,10.0
12679.0,4.0,100.0,100.0,10.0
12705.0,4.0,100.0,100.0,10.0
12750.0,4.0,100.0,100.0,10.0
12788.0,4.0,100.0,100.0,10.0
12842.0,4.0,100.0,100.0,10.0
