Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
91.0,0.0,100,100,100
124.0,48.0,100,100.0,0.05
135.0,57.0,100,100.0,13.6
200.0,3.0,100,100.0,23.2
379.0,1.0,100,100.0,10.0
504.0,0.0,100,100.0,10.0
657.0,0.0,100,100.0,10.0
772.0,55.0,101.56,100.0,10.0
808.0,15.0,101.56,100.0,10.0
832.0,5.0,101.56,100.0,10.0
853.0,5.0,101.56,100.0,10.0
898.0,2.0,101.56,100.0,10.0
966.0,2.0,101.56,100.0,10.0
1037.0,1.0,101.56,100.0,10.0
1106.0,1.0,101.56,100.0,10.0
1159.0,7.0,101.56,100.0,10.0
1224.0,6.0,101.56,100.0,10.0
1262.0,4.0,101.56,100.0,10.0
1460.0,0.0,101.56,100.0,10.0
