Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
70.0,0.0,100,100,100
102.0,36.0,100,100.0,0.05
113.0,50.0,100,12.5,10.0
277.0,0.0,100,100.0,10.0
316.0,5.0,100,100.0,10.0
331.0,6.0,100,100.0,10.0
348.0,4.0,100,100.0,10.0
367.0,4.0,100,100.0,10.0
395.0,1.0,100,100.0,10.0
429.0,2.0,100,100.0,10.0
466.0,2.0,100,100.0,10.0
506.0,2.0,100,100.0,10.0
566.0,1.0,100,100.0,10.0
605.0,3.0,100,100.0,10.0
621.0,68.0,101.56,100.0,10.0
654.0,19.0,101.56,100.0,10.0
664.0,16.0,101.56,100.0,10.0
671.0,36.0,101.56,100.0,10.0
680.0,18.0,101.56,100.0,10.0
703.0,8.0,101.56,100.0,10.0
708.0,29.0,101.56,100.0,10.0
724.0,11.0,101.56,100.0,10.0
744.0,9.0,101.56,100.0,10.0
764.0,15.0,101.56,100.0,10.0
819.0,4.0,101.56,100.0,10.0
851.0,7.0,101.56,100.0,10.0
855.0,73.0,101.56,100.0,10.0
895.0,30.0,110.94,100.0,10.0
911.0,136.0,110.94,100.0,10.0
925.0,14.0,110.94,100.0,82.0
946.0,9.0,110.94,100.0,10.0
960.0,11.0,110.94,100.0,10.0
984.0,9.0,110.94,100.0,10.0
1007.0,7.0,110.94,100.0,10.0
1024.0,11.0,110.94,100.0,10.0
1045.0,8.0,110.94,100.0,10.0
1066.0,9.0,110.94,100.0,10.0
1078.0,16.0,110.94,100.0,10.0
1088.0,36.0,110.94,100.0,10.0
1115.0,9.0,110.94,100.0,10.0
1131.0,9.0,110.94,100.0,10.0
1136.0,31.0,110.94,100.0,10.0
1167.0,5.0,110.94,100.0,10.0
1205.0,4.0,110.94,100.0,10.0
1217.0,12.0,110.94,100.0,10.0
1224.0,49.0,110.94,100.0,10.0
1229.0,65.0,110.94,100.0,10.0
1248.0,15.0,110.94,100.0,10.0
1277.0,10.0,110.94,100.0,10.0
1295.0,10.0,110.94,100.0,10.0
1322.0,9.0,110.94,100.0,10.0
1351.0,6.0,110.94,100.0,10.0
1364.0,11.0,110.94,100.0,10.0
1374.0,16.0,110.94,100.0,10.0
1382.0,17.0,110.94,100.0,10.0
1411.0,10.0,110.94,100.0,10.0
1431.0,8.0,110.94,100.0,10.0
1443.0,85.0,110.94,100.0,10.0
1485.0,5.0,110.94,100.0,29.6
1520.0,34.0,110.94,100.0,10.0
1537.0,9.0,110.94,100.0,10.0
1545.0,19.0,110.94,100.0,10.0
1549.0,43.0,110.94,100.0,10.0
1570.0,9.0,110.94,100.0,10.0
1604.0,4.0,110.94,100.0,10.0
1637.0,41.0,110.94,100.0,10.0
1661.0,7.0,110.94,100.0,10.0
1685.0,6.0,110.94,100.0,10.0
1695.0,14.0,110.94,100.0,10.0
1706.0,14.0,110.94,100.0,10.0
1719.0,23.0,110.94,100.0,10.0
1745.0,15.0,110.94,100.0,10.0
1770.0,33.0,110.94,100.0,10.0
1792.0,9.0,110.94,100.0,10.0
1824.0,31.0,110.94,100.0,10.0
1835.0,19.0,110.94,100.0,10.0
1858.0,9.0,110.94,100.0,10.0
1870.0,11.0,110.94,100.0,10.0
1889.0,9.0,110.94,100.0,10.0
1894.0,30.0,110.94,100.0,10.0
1917.0,9.0,110.94,100.0,10.0
1935.0,12.0,110.94,100.0,10.0
1950.0,12.0,110.94,100.0,10.0
1964.0,14.0,110.94,100.0,10.0
1984.0,10.0,110.94,100.0,10.0
2004.0,11.0,110.94,100.0,10.0
2024.0,11.0,110.94,100.0,10.0
2049.0,11.0,110.94,100.0,10.0
2065.0,12.0,110.94,100.0,10.0
2086.0,13.0,110.94,100.0,10.0
2103.0,14.0,110.94,100.0,10.0
2134.0,6.0,110.94,100.0,10.0
2159.0,9.0,110.94,100.0,10.0
2170.0,18.0,110.94,100.0,10.0
2178.0,22.0,110.94,100.0,10.0
2183.0,32.0,110.94,100.0,10.0
2191.0,20.0,110.94,100.0,10.0
2209.0,10.0,110.94,100.0,10.0
2232.0,6.0,110.94,100.0,10.0
2246.0,13.0,110.94,100.0,10.0
2262.0,12.0,110.94,100.0,10.0
2282.0,10.0,110.94,100.0,10.0
2295.0,13.0,110.94,100.0,10.0
2304.0,20.0,110.94,100.0,10.0
2329.0,7.0,110.94,100.0,10.0
