Time,GC Util,heapSize,numThreads,GCInterval
2396.0,0.0,100,100,100
0.0,0.0,100,100,100
67.0,13.0,100,100,100
94.0,13.0,100,100,100
106.0,0.0,100,100,100
306.0,5.0,100,100,100
340.0,6.0,100,100,100
352.0,3.0,100,100,100
370.0,3.0,100,100,100
393.0,1.0,100,100,100
424.0,1.0,100,100,100
457.0,1.0,100,100,100
499.0,1.0,100,100,100
539.0,1.0,100,100,100
598.0,2.0,100,100,100
646.0,66.0,100,100,100
662.0,5.0,100,100,100
699.0,31.0,100,100,100
709.0,53.0,100,100,100
712.0,58.0,100,100,100
717.0,9.0,100,100,100
745.0,11.0,100,100,100
771.0,14.0,100,100,100
791.0,7.0,100,100,100
821.0,4.0,100,100,100
873.0,8.0,100,100,100
900.0,57.0,100,100,100
903.0,13.0,100,100,100
919.0,9.0,100,100,100
938.0,94.0,100,100,100
942.0,7.0,100,100,100
965.0,11.0,100,100,100
988.0,20.0,100,100,100
997.0,10.0,100,100,100
1013.0,3.0,100,100,100
1060.0,111.0,100,100,100
1069.0,9.0,100,100,100
1101.0,7.0,100,100,100
1119.0,18.0,100,100,100
1126.0,31.0,100,100,100
1130.0,123.0,100,100,100
1136.0,15.0,100,100,100
1150.0,16.0,100,100,100
1158.0,7.0,100,100,100
1182.0,7.0,100,100,100
1200.0,114.0,100,100,100
1220.0,12.0,100,100,100
1241.0,10.0,100,100,100
1257.0,45.0,100,100,100
1280.0,38.0,100,100,100
1291.0,22.0,100,100,100
1310.0,13.0,100,100,100
1331.0,147.0,100,100,100
1371.0,15.0,100,100,100
1401.0,5.0,100,100,100
1428.0,5.0,100,100,100
1450.0,4.0,100,100,100
1474.0,29.0,100,100,100
1483.0,126.0,100,100,100
1521.0,14.0,100,100,100
1550.0,13.0,100,100,100
1562.0,126.0,100,100,100
1593.0,33.0,100,100,100
1606.0,7.0,100,100,100
1622.0,4.0,100,100,100
1661.0,158.0,100,100,100
1667.0,4.0,100,100,100
1695.0,10.0,100,100,100
1710.0,158.0,100,100,100
1751.0,8.0,100,100,100
1778.0,31.0,100,100,100
1792.0,5.0,100,100,100
1825.0,173.0,100,100,100
1827.0,4.0,100,100,100
1855.0,6.0,100,100,100
1882.0,15.0,100,100,100
1895.0,180.0,100,100,100
1898.0,6.0,100,100,100
1937.0,7.0,100,100,100
1964.0,6.0,100,100,100
2004.0,169.0,100,100,100
2027.0,9.0,100,100,100
2055.0,13.0,100,100,100
2075.0,7.0,100,100,100
2101.0,6.0,100,100,100
2131.0,111.0,100,100,100
2137.0,8.0,100,100,100
2175.0,5.0,100,100,100
2204.0,12.0,100,100,100
2246.0,185.0,100,100,100
2289.0,7.0,100,100,100
2326.0,10.0,100,100,100
2343.0,7.0,100,100,100
