Time,GC Util,heapSize,numThreads,GCInterval,Container
0.0,17.0,100,100,10.0,01
45.0,0.0,100,100,100,01
68.0,0.0,100,100,0.05,01
85.0,49.0,100,100,0.05,01
117.0,59.0,100,100.0,0.05,01
138.0,30.0,100,100.0,10.0,01
158.0,37.0,100,100.0,10.0,01
177.0,13.0,100,100.0,10.0,01
210.0,11.0,101.56,100.0,10.0,01
239.0,0.0,101.56,100.0,10.0,01
263.0,19.0,101.56,100.0,10.0,01
316.0,11.0,101.56,100.0,10.0,01
334.0,6.0,101.56,100.0,10.0,01
338.0,57.0,101.56,100.0,10.0,01
342.0,192.0,101.56,100.0,15.6,01
367.0,179.0,101.56,100.0,12.4,01
378.0,31.0,101.56,100.0,10.0,01
385.0,54.0,101.56,100.0,10.0,01
409.0,102.0,101.56,100.0,10.0,01
514.0,23.0,101.56,100.0,10.0,01
542.0,6.0,101.56,100.0,10.0,01
561.0,32.0,101.56,100.0,10.0,01
566.0,20.0,101.56,100.0,10.0,01
584.0,100.0,101.56,100.0,10.0,01
589.0,28.0,101.56,100.0,10.0,01
595.0,114.0,101.56,100.0,10.0,01
604.0,103.0,101.56,100.0,10.0,01
687.0,61.0,101.56,100.0,10.0,01
1395.0,7.0,101.56,100.0,10.0,01
2513.0,1.0,101.56,100.0,10.0,01
3586.0,0.0,101.56,100.0,10.0,01
4420.0,0.0,101.56,100.0,10.0,01
5251.0,0.0,101.56,100.0,10.0,01
5969.0,0.0,101.56,100.0,10.0,01
6967.0,0.0,101.56,100.0,10.0,01
7798.0,0.0,101.56,100.0,10.0,01
8626.0,0.0,101.56,100.0,10.0,01
10330.0,0.0,101.56,100.0,10.0,01
11047.0,0.0,101.56,100.0,10.0,01
11645.0,0.0,101.56,100.0,10.0,01
12245.0,0.0,101.56,100.0,10.0,01
12813.0,0.0,101.56,100.0,10.0,01
13300.0,0.0,101.56,100.0,10.0,01
13740.0,0.0,101.56,100.0,10.0,01
14325.0,0.0,101.56,100.0,10.0,01
14925.0,0.0,101.56,100.0,10.0,01
15494.0,0.0,101.56,100.0,10.0,01
16168.0,0.0,101.56,100.0,10.0,01
16738.0,0.0,101.56,100.0,10.0,01
17198.0,0.0,101.56,100.0,10.0,01
17802.0,0.0,101.56,100.0,10.0,01
18530.0,0.0,101.56,100.0,10.0,01
19157.0,0.0,101.56,100.0,10.0,01
19810.0,0.0,101.56,100.0,10.0,01
20326.0,0.0,101.56,100.0,10.0,01
20967.0,0.0,101.56,100.0,10.0,01
21616.0,0.0,101.56,100.0,10.0,01
