Time,GC Util,heapSize,numThreads,GCInterval,Container
0.0,65.0,100,100,100,01
0.0,65.0,100,100,100,01
255.0,0.0,100.0,100.0,100,01
255.0,0.0,100.0,100.0,100,01
547.0,65.0,100.78,50.0,100,01
547.0,65.0,100.78,50.0,100,01
676.0,12.0,101.56,100.0,100,01
676.0,12.0,101.56,100.0,100,01
1947.0,7.0,102.34,100.0,100,01
1947.0,7.0,102.34,100.0,100,01
3013.0,20.0,103.12,100.0,100,01
3013.0,20.0,103.12,100.0,100,01
3788.0,24.0,103.91,100.0,100,01
3788.0,24.0,103.91,100.0,100,01
4391.0,66.0,104.69,100.0,100,01
4391.0,66.0,104.69,100.0,100,01
4847.0,105.0,105.47,100.0,100,01
4847.0,105.0,105.47,100.0,100,01
5375.0,8.0,106.25,100.0,100,01
5375.0,8.0,106.25,100.0,100,01
5909.0,54.0,107.03,100.0,100,01
5909.0,54.0,107.03,100.0,100,01
6399.0,39.0,107.81,100.0,100,01
6399.0,39.0,107.81,100.0,100,01
6952.0,9.0,108.59,100.0,100,01
6952.0,9.0,108.59,100.0,100,01
7421.0,36.0,109.38,100.0,100,01
7421.0,36.0,109.38,100.0,100,01
7819.0,48.0,110.16,100.0,100,01
7819.0,48.0,110.16,100.0,100,01
8191.0,58.0,110.94,100.0,100,01
8191.0,58.0,110.94,100.0,100,01
8729.0,55.0,111.72,100.0,100,01
8729.0,55.0,111.72,100.0,100,01
9133.0,52.0,112.5,100.0,100,01
9133.0,52.0,112.5,100.0,100,01
9723.0,88.0,113.28,100.0,100,01
9723.0,88.0,113.28,100.0,100,01
10381.0,83.0,114.06,100.0,100,01
10381.0,83.0,114.06,100.0,100,01
11116.0,122.0,114.84,100.0,100,01
11116.0,122.0,114.84,100.0,100,01
11687.0,52.0,115.62,100.0,100,01
11687.0,52.0,115.62,100.0,100,01
12332.0,85.0,116.41,100.0,100,01
12332.0,85.0,116.41,100.0,100,01
13009.0,65.0,117.19,100.0,100,01
13009.0,65.0,117.19,100.0,100,01
13654.0,67.0,117.97,100.0,100,01
13654.0,67.0,117.97,100.0,100,01
14481.0,87.0,118.75,100.0,100,01
14481.0,87.0,118.75,100.0,100,01
15202.0,53.0,119.53,100.0,100,01
