Container,CPU Utilisation,Memory Utilisation,Iteration
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
jdk05-05-1-01,2448.0,43.0,7.0
