Container,CPU Utilisation,Memory Utilisation,Iteration
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
jdk1-1-3-01,2523.0,37.0,8.0
